Hour,Minute,Load,Irradiance
0,0,1,1
0,5,1,1
0,10,1,1
0,15,1,1
0,20,1,1
0,25,1,1
0,30,1,1
0,35,1,1
0,40,1,1
0,45,1,1
0,50,1,1
0,55,1,1
0,0,1,1
1,5,1,1
1,10,1,1
1,15,1,1
1,20,1,1
1,25,1,1
1,30,1,1
1,35,1,1
1,40,1,1
1,45,1,1
1,50,1,1
1,55,1,1
2,0,1,1
2,5,1,1
2,10,1,1
2,15,1,1
2,20,1,1
2,25,1,1
2,30,1,1
2,35,1,1
2,40,1,1
2,45,1,1
2,50,1,1
2,55,1,1
3,0,1,1
3,5,1,1
3,10,1,1
3,15,1,1
3,20,1,1
3,25,1,1
3,30,1,1
3,35,1,1
3,40,1,1
3,45,1,1
3,50,1,1
3,55,1,1
4,0,1,1
4,5,1,1
4,10,1,1
4,15,1,1
4,20,1,1
4,25,1,1
4,30,1,1
4,35,1,1
4,40,1,1
4,45,1,1
4,50,1,1
4,55,1,1
5,0,1,1
5,5,1,1
5,10,1,1
5,15,1,1
5,20,1,1
5,25,1,1
5,30,1,1
5,35,1,1
5,40,1,1
5,45,1,1
5,50,1,1
5,55,1,1
6,0,1,1
6,5,1,1
6,10,1,1
6,15,1,1
6,20,1,1
6,25,1,1
6,30,1,1
6,35,1,1
6,40,1,1
6,45,1,1
6,50,1,1
6,55,1,1
7,0,1,1
7,5,1,1
7,10,1,1
7,15,1,1
7,20,1,1
7,25,1,1
7,30,1,1
7,35,1,1
7,40,1,1
7,45,1,1
7,50,1,1
7,55,1,1
8,0,1,1
8,5,1,1
8,10,1,1
8,15,1,1
8,20,1,1
8,25,1,1
8,30,1,1
8,35,1,1
8,40,1,1
8,45,1,1
8,50,1,1
8,55,1,1
9,0,1,1
9,5,1,1
9,10,1,1
9,15,1,1
9,20,1,1
9,25,1,1
9,30,1,1
9,35,1,1
9,40,1,1
9,45,1,1
9,50,1,1
9,55,1,1
10,0,1,1
10,5,1,1
10,10,1,1
10,15,1,1
10,20,1,1
10,25,1,1
10,30,1,1
10,35,1,1
10,40,1,1
10,45,1,1
10,50,1,1
10,55,1,1
11,0,1,1
11,5,1,1
11,10,1,1
11,15,1,1
11,20,1,1
11,25,1,1
11,30,1,1
11,35,1,1
11,40,1,1
11,45,1,1
11,50,1,1
11,55,1,1
